type	latitude	longitude	name	desc	kml_folder
T	59.557007836	17.863730942			
T	59.557974379	17.863370136			
T	59.558578457	17.863060515			
T	59.559673205	17.862904346			
T	59.560642724	17.862317717			
T	59.561131240	17.862247761			
T	59.561865031	17.862142675			
T	59.562354907	17.862072516			
T	59.563581987	17.861896760			
T	59.564812495	17.861720491			
T	59.565305661	17.861649839			
T	59.566293647	17.861508287			
T	59.566540991	17.861472847			
T	59.567410747	17.861574143			
T	59.568033887	17.861711094			
T	59.568654940	17.861622415			
T	59.569152412	17.861551378			
T	59.570398530	17.861373421			
T	59.571147886	17.861266395			
T	59.572023739	17.861141292			
T	59.572274296	17.861105501			
T	59.573277953	17.860962125			
T	59.574790675	17.860973849			
T	59.575168917	17.860919902			
T	59.576052718	17.860793843			
T	59.576688068	17.860931556			
T	59.577321329	17.860841385			
T	59.578593537	17.860889061			
T	59.579229503	17.860798653			
T	59.580759512	17.860581124			
T	59.581782429	17.860435672			
T	59.582166624	17.860381038			
T	59.582936003	17.860271623			
T	59.583578161	17.860180294			
T	59.584224244	17.860318711			
T	59.585771389	17.860099038			
T	59.586291296	17.860256061			
T	59.586549970	17.860219395			
T	59.587332904	17.860570652			
T	59.587984371	17.860709926			
T	59.588633757	17.860618371			
T	59.589417271	17.860739567			
T	59.590068718	17.860647878			
T	59.590721104	17.860556051			
T	59.590985339	17.860750927			
T	59.592031722	17.860603900			
T	59.592424738	17.860548674			
T	59.592952321	17.860707117			
T	59.593480507	17.860865747			
T	59.594538719	17.861183562			
T	59.595869476	17.861931254			
T	59.596136698	17.862127650			
T	59.596665534	17.862054554			
T	59.597191954	17.861748111			
T	59.598113898	17.861152578			
T	59.598503078	17.860396372			
T	59.599551691	17.859078170			
T	59.599675710	17.858357602			
T	59.599799759	17.857636807			
T	59.600051013	17.856428608			
T	59.600166015	17.855004977			
T	59.600159914	17.854536824			
T	59.600132442	17.852430140			
T	59.600126334	17.851961983			
T	59.599841453	17.850597638			
T	59.599820061	17.848959525			
T	59.599807831	17.848023458			
T	59.599922732	17.846598671			
T	59.599913551	17.845896493			
T	59.600155661	17.843981895			
T	59.600146469	17.843279497			
T	59.600131143	17.842108814			
T	59.600382569	17.840895071			
T	59.600758436	17.838955913			
T	59.601016361	17.838209064			
T	59.601004070	17.837271490			
T	59.601255989	17.836054978			
T	59.601635672	17.834346098			
T	59.601751010	17.832915872			
T	59.601875620	17.832189152			
T	59.601997187	17.831227519			
T	59.602243493	17.829538133			
T	59.602355897	17.827871241			
T	59.602483762	17.827378028			
T	59.602733428	17.825921318			
T	59.602970859	17.823523752			
