NAME,VALUE,SCENARIO,REGION,REGION2,DAYTYPE,FUEL,EMISSION,DAILYTIMEBRACKET,SEASON,TIMESLICE,MODE_OF_OPERATION,STORAGE,TECHNOLOGY,YEAR,PARAM,REGION_x,REGION_y
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2037.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2038.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2039.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2040.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2041.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2042.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2043.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2044.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2045.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2046.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2047.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2048.0,ResidualCapacity,,
TotCapacityAnn,400.0,,STOCKHOLM,,,,,,,,,,VVHVELHOB,2049.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2023.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2024.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2025.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2026.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2027.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2028.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2029.0,ResidualCapacity,,
TotCapacityAnn,185.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2030.0,ResidualCapacity,,
TotCapacityAnn,167.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2031.0,ResidualCapacity,,
TotCapacityAnn,148.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2032.0,ResidualCapacity,,
TotCapacityAnn,130.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2033.0,ResidualCapacity,,
TotCapacityAnn,111.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2034.0,ResidualCapacity,,
TotCapacityAnn,93.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2035.0,ResidualCapacity,,
TotCapacityAnn,74.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2036.0,ResidualCapacity,,
TotCapacityAnn,56.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2037.0,ResidualCapacity,,
TotCapacityAnn,37.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2038.0,ResidualCapacity,,
TotCapacityAnn,19.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2039.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2040.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2041.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2042.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2043.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2044.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2045.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2046.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2047.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2048.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,HslbyP1toP3,2049.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2023.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2024.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2025.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2026.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2027.0,ResidualCapacity,,
TotCapacityAnn,834.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2028.0,ResidualCapacity,,
TotCapacityAnn,751.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2029.0,ResidualCapacity,,
TotCapacityAnn,667.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2030.0,ResidualCapacity,,
TotCapacityAnn,584.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2031.0,ResidualCapacity,,
TotCapacityAnn,500.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2032.0,ResidualCapacity,,
TotCapacityAnn,417.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2033.0,ResidualCapacity,,
TotCapacityAnn,334.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2034.0,ResidualCapacity,,
TotCapacityAnn,250.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2035.0,ResidualCapacity,,
TotCapacityAnn,167.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2036.0,ResidualCapacity,,
TotCapacityAnn,83.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2037.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2038.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2039.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2040.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2041.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2042.0,ResidualCapacity,,
TotCapacityAnn,0.0,,STOCKHOLM,,,,,,,,,,DECFOHOB,2043.0,ResidualCapacity,,
